,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,1969.598848,1913.225354,1858.2623,1804.794338,1752.847823,1702.616026,1653.258764,1605.301445,1560.314329,1520.441379,1494.092827,1465.630565,1424.263873,1384.505574,1348.672215,1314.87799,1282.563932,1251.644199,1221.852703,1192.95906,1162.750716,1131.288668,1101.377556,1073.455365,1047.341585,1023.03712,1000.387855,979.33137,959.4841901,940.5760448,922.7758832,905.5456235,888.8335084,872.504789,856.4411347,840.9271794,825.4842296,810.0456023,794.80386,780.412079,767.5112629,755.7563913,744.837473,734.7648811,725.5600989,717.1838542,709.5108606,702.462064,695.9462799,689.8727553,683.6334684,677.1131206,670.7887551,664.7045054,658.7897208,652.9366241,647.4042447,642.1111028,636.6991382,631.3965583,626.2717268,,
Bulgaria,BGR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,2643.798065,2620.758957,2599.606717,2578.477814,2559.674546,2542.971065,2527.007087,2509.079582,2489.870968,2473.622351,2460.054859,2448.636925,2435.921632,2419.704692,2408.051975,2397.643733,2385.229839,2382.564529,2379.349962,2369.792592,2361.907958,2354.931456,2349.062131,2343.572401,2343.606925,2344.228526,2340.782483,2338.153567,2365.671538,2408.729511,2432.704726,2458.969172,2478.661966,2487.093465,2498.195648,2511.11287,2526.447089,2543.362514,2557.661878,2570.325325,2622.003705,2679.541737,2700.851038,2721.31411,2741.882331,2762.786373,2783.175518,2802.779984,2820.89607,2839.526589,2857.792956,2874.393914,2890.525477,2907.001694,2925.609687,2946.201519,2967.800635,2989.308099,3010.424239,3028.548395,3053.327232,,
Bahrain,BHR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,23.20912583,22.30288432,21.44760618,20.63813101,19.91377336,19.27311449,18.67509536,18.2367772,17.98003317,17.79288196,17.33605509,16.52121117,15.66661444,14.86778819,14.12214953,13.42899252,12.78678358,12.1934119,11.64629051,11.14274412,10.70881657,10.33637137,9.982356185,9.634978827,9.294587297,8.96286238,8.642033989,8.334566155,8.042997867,7.77005305,7.951464262,7.74506349,7.543967184,7.347997487,7.157184292,6.971167252,6.789845786,6.613297357,6.44133793,6.273702834,6.048545627,5.629418214,5.23206155,4.855895239,4.50033865,4.164827201,3.848762863,3.624843226,3.394389922,3.255889293,3.347224314,3.308617957,3.191851841,3.042838603,2.919021953,2.809529362,2.664684142,2.661182856,2.695861045,2.717014762,2.658929183,,
"Bahamas, The",BHS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,5728.454872,5447.767583,5181.845773,4946.017749,4731.264194,4519.803195,4313.877745,4115.492477,3933.004085,3784.151972,3667.667416,3570.426666,3486.212031,3408.947025,3335.14384,3263.388049,3194.057228,3128.337825,3067.081453,3010.416039,2958.404828,2909.223902,2860.66907,2812.792581,2765.115305,2718.0666,2672.41873,2627.154266,2581.330344,2536.737393,2493.490209,2448.177332,2402.699261,2360.805237,2322.025071,2285.57995,2251.498855,2219.629132,2190.141859,2161.594639,2135.213948,2110.88796,2085.704581,2060.144446,2035.510942,2009.329028,1981.128337,1954.652072,1929.384526,1904.875938,1883.092253,1864.335005,1847.194771,1831.032336,1816.549283,1803.868008,1792.642483,1782.454032,1773.611199,1768.288524,1766.013326,,
Bosnia and Herzegovina,BIH,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8383.286702,9092.115164,9529.14738,9554.404123,9160.708765,8834.742288,8681.073499,8595.006906,8534.123633,8493.964978,8476.595761,8495.82496,8572.835413,8665.949142,8736.801277,8845.315122,8992.933328,9149.970333,9313.986827,9487.417546,9672.726698,9831.455618,9958.401932,10089.40922,10221.70151,10353.83276,10481.25185,10611.1642,10759.69835,10940.22109,,
Belarus,BLR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3327.959657,3320.620565,3324.547727,3335.350566,3346.59866,3360.536215,3375.707397,3390.933322,3406.946764,3424.468168,3446.336686,3470.539053,3494.294947,3518.242865,3539.851018,3556.130859,3568.435509,3577.221641,3585.047232,3593.456232,3599.088626,3600.470221,3598.449068,3593.671587,3590.520561,3594.464482,3602.158541,3609.434552,3624.752024,3654.898074,,
Belize,BLZ,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,158888.8195,154603.6635,150192.4156,145784.5713,141419.3835,137141.4192,133027.6429,129278.2108,126391.4657,124262.0414,122397.2537,120684.8828,119046.6903,117036.2076,114651.5,112299.1898,110011.3183,107709.0303,105196.3988,102563.4132,100034.0876,97634.6315,95348.77909,93164.66825,91075.11608,89063.722,87110.40073,85200.46676,83353.36145,81586.82635,79902.39969,78295.75889,76646.05695,74750.42372,72559.55494,70178.34313,67770.11453,65476.98222,63372.3562,61438.36637,59607.27943,57851.23967,56167.36845,54552.40928,53008.56613,51536.64303,50137.82975,48814.19258,47651.01719,46624.17736,45632.06086,44668.60055,43734.57754,42825.11022,41842.03671,40889.3843,40134.02555,39551.20014,39046.90746,38599.10053,,
Bermuda,BMU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,80317.96918,78678.04297,77051.71452,75441.28804,73847.94768,72269.64794,70703.53159,69151.03041,67621.28161,66121.8603,64652.29845,63216.28635,61810.10957,60428.37446,59074.97734,57738.08256,56421.38577,55140.48287,53899.50965,52701.03666,51544.5621,50431.29977,49357.13751,48313.65447,47302.25204,46318.34761,45351.56202,44400.50396,43470.37698,42565.77218,41687.90552,40846.06672,40043.83051,39276.22014,38541.26824,37834.70311,37157.65374,36507.35187,35875.52717,35264.75757,34674.87195,34099.76344,33533.31786,32973.76538,32422.60185,31874.59704,31334.01336,30809.49903,30300.68563,29806.49349,29326.70617,28861.31326,28410.66526,27975.21737,27554.0743,27146.64196,26752.84697,26372.11462,26003.76682,25684.86122,25424.38194,,
Brazil,BRA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,75879.1781,73648.29521,71509.56489,69469.84422,67539.52807,65719.08667,64005.06595,62386.18736,60841.02022,59354.7718,57919.3995,56527.02003,55174.91374,53868.27964,52601.9595,51364.01399,50152.69418,48970.18919,47820.24615,46705.04566,45630.00271,44601.79074,43616.58557,42673.36407,41773.78995,40921.99325,40119.0762,39359.96237,38640.85433,37956.80344,37311.10733,36694.19609,36104.56502,35544.53136,35001.68451,34475.71329,33967.02057,33465.42649,32981.52592,32531.06475,32109.8206,31713.66672,31341.57764,30989.4379,30651.6769,30328.98901,30023.49693,29737.24973,29472.10248,29225.31556,28988.44105,28754.12345,28522.00985,28292.95753,28069.84042,27856.76871,27654.63962,27466.28126,27287.78518,27130.15028,27014.99431,,
